,id,title,release_date,vote_average,vote_count,popularity
0,278,The Shawshank Redemption,1994-09-23,8.718,30151,43.3695
1,238,The Godfather,1972-03-14,8.686,22778,42.0565
2,240,The Godfather Part II,1974-12-20,8.571,13803,24.3546
3,424,Schindler's List,1993-12-15,8.567,17336,24.1763
4,389,12 Angry Men,1957-04-10,8.559,9903,18.1667
5,129,Spirited Away,2001-07-20,8.534,18183,29.7691
6,155,The Dark Knight,2008-07-16,8.528,35532,32.9229
7,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.515,4573,14.3986
8,497,The Green Mile,1999-12-10,8.504,19102,24.2955
9,122,The Lord of the Rings: The Return of the King,2003-12-17,8.496,26353,30.3274
10,496243,Parasite,2019-05-30,8.494,20455,33.5378
11,1181678,¿Quieres ser mi hijo?,2023-09-21,8.49,315,14.7546
12,680,Pulp Fiction,1994-09-10,8.485,30025,33.8807
13,372058,Your Name.,2016-08-26,8.477,12436,24.4444
14,157336,Interstellar,2014-11-05,8.47,39442,59.4178
15,429,"The Good, the Bad and the Ugly",1966-12-23,8.468,9560,21.3774
16,13,Forrest Gump,1994-06-23,8.464,29561,26.6303
17,769,GoodFellas,1990-09-12,8.453,14221,22.8735
18,346,Seven Samurai,1954-04-26,8.453,4185,14.7981
19,12477,Grave of the Fireflies,1988-04-16,8.444,6466,0.0154
20,637,Life Is Beautiful,1997-12-20,8.439,13914,13.1376
21,14537,Harakiri,1962-09-15,8.438,1186,10.0639
22,550,Fight Club,1999-10-15,8.438,31827,26.6576
23,120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,8.431,27353,34.1573
24,598,City of God,2002-08-30,8.429,8112,13.298
25,11216,Cinema Paradiso,1988-11-17,8.4,4791,10.9534
26,40096,A Dog's Will,2000-09-15,8.419,1212,5.4616
27,667257,Impossible Things,2021-06-17,8.4,420,4.5537
28,539,Psycho,1960-06-22,8.415,10927,16.6401
29,121,The Lord of the Rings: The Two Towers,2002-12-18,8.415,23725,23.4854
30,510,One Flew Over the Cuckoo's Nest,1975-11-19,8.412,11363,15.1385
31,324857,Spider-Man: Into the Spider-Verse,2018-12-06,8.394,17091,30.2133
32,255709,Hope,2013-10-02,8.394,833,9.3387
33,1891,The Empire Strikes Back,1980-05-20,8.392,18286,12.0874
34,4935,Howl's Moving Castle,2004-09-09,8.387,10977,22.3867
35,378064,A Silent Voice: The Movie,2016-09-17,8.4,4440,13.6652
36,696374,Gabriel's Inferno,2020-05-29,8.385,2453,4.5249
37,311,Once Upon a Time in America,1984-05-23,8.384,5985,14.7758
38,807,Se7en,1995-09-22,8.38,22924,27.5986
39,423,The Pianist,2002-09-17,8.375,10060,14.8148
40,244786,Whiplash,2014-10-10,8.4,16505,22.1953
41,27205,Inception,2010-07-15,8.372,39049,35.3098
42,770156,Lucy Shimmers and the Prince of Peace,2020-10-19,8.369,354,7.6541
43,724089,Gabriel's Inferno: Part II,2020-07-31,8.4,1543,4.3381
44,12493,High and Low,1963-03-01,8.356,1111,8.7405
45,761053,Gabriel's Inferno: Part III,2020-11-19,8.354,1078,5.9831
46,274,The Silence of the Lambs,1991-02-14,8.345,17848,4.5498
47,567,Rear Window,1954-08-01,8.34,7106,9.6398
48,569094,Spider-Man: Across the Spider-Verse,2023-05-31,8.333,8472,29.3842
49,1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,8.33,802,29.5697
50,73,American History X,1998-07-01,8.328,12482,12.5564
51,128,Princess Mononoke,1997-07-12,8.324,8910,14.9608
52,105,Back to the Future,1985-07-03,8.325,21646,21.6988
53,1058694,Radical,2023-10-19,8.322,498,4.753
54,1184918,The Wild Robot,2024-09-12,8.307,5925,24.3735
55,620249,The Legend of Hei,2019-08-27,8.301,452,9.7994
56,372754,Dou kyu sei – Classmates,2016-02-20,8.304,434,6.0699
57,3782,Ikiru,1952-10-09,8.3,1330,7.9292
58,10494,Perfect Blue,1998-02-28,8.303,3139,12.6743
59,533514,Violet Evergarden: The Movie,2020-09-18,8.301,499,8.647
60,820067,The Quintessential Quintuplets Movie,2022-05-20,8.299,436,8.9557
61,207,Dead Poets Society,1989-06-02,8.299,12493,18.2043
62,101,Léon: The Professional,1994-09-14,8.295,15987,18.3547
63,42269,We All Loved Each Other So Much,1974-12-21,8.292,638,4.4392
64,644479,Dedicated to my ex,2019-11-01,8.3,513,4.0656
65,914,The Great Dictator,1940-10-15,8.281,3675,8.7771
66,3082,Modern Times,1936-02-05,8.28,4055,7.4114
67,1585,It's a Wonderful Life,1946-12-20,8.3,4859,10.5581
68,599,Sunset Boulevard,1950-08-10,8.279,2907,8.3069
69,335,Once Upon a Time in the West,1968-12-21,8.274,4856,11.2602
70,1139087,Once Upon a Studio,2023-09-24,8.273,423,7.2227
71,77338,The Intouchables,2011-11-02,8.269,18315,38.0742
72,28,Apocalypse Now,1979-05-19,8.269,9014,14.6229
73,572154,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,8.26,585,7.44
74,18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,8.258,1832,10.5116
75,975,Paths of Glory,1957-10-25,8.255,3253,8.3742
76,632632,Given,2020-08-22,8.3,413,6.5542
77,654299,Out of the Clear Blue Sky,2019-12-24,8.3,378,3.969
78,652837,"Josee, the Tiger and the Fish",2020-12-25,8.253,586,7.928
79,92321,Hotarubi no Mori e,2011-09-17,8.253,1207,0.0074
80,901,City Lights,1931-02-06,8.252,2433,7.033
81,637920,Miracle in Cell No. 7,2019-10-10,8.252,4543,7.7537
82,8587,The Lion King,1994-06-15,8.252,19581,22.158
83,29259,Le Trou,1960-03-18,8.25,565,6.0976
84,15804,A Brighter Summer Day,1991-07-27,8.2,381,6.6354
85,10376,The Legend of 1900,1998-10-28,8.243,2429,6.6447
86,603,The Matrix,1999-03-31,8.242,27698,30.0957
87,1356039,Counterattack,2025-02-27,8.238,803,8.5577
88,630566,Clouds,2020-10-09,8.2,1047,4.8249
89,670,Oldboy,2003-11-21,8.239,9741,19.6585
90,1186532,The Forge,2024-08-22,8.237,327,7.8913
91,299534,Avengers: Endgame,2019-04-24,8.234,27534,41.7109
92,299536,Avengers: Infinity War,2018-04-25,8.233,31769,48.926
93,447362,Life in a Year,2020-11-27,8.231,1957,5.3098
94,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.23,709,4.995
95,687163,Project Hail Mary,2026-03-15,8.222,1628,227.7113
96,504253,I Want to Eat Your Pancreas,2018-09-01,8.224,1758,6.1659
97,98,Gladiator,2000-05-04,8.224,20752,18.3129
98,508965,Klaus,2019-11-08,8.223,4621,6.8485
99,490132,Green Book,2018-11-16,8.223,12766,12.2238
100,857,Saving Private Ryan,1998-07-24,8.223,17081,15.3734
101,110420,Wolf Children,2012-07-21,8.22,2457,5.9001
102,92060,Michael Jackson's Thriller,1983-11-14,8.219,743,4.1586
103,527641,Five Feet Apart,2019-03-14,8.217,5890,7.0142
104,25237,Come and See,1985-10-17,8.2,1806,8.0827
105,16869,Inglourious Basterds,2009-08-02,8.217,24024,17.56
106,24188,Il Sorpasso,1962-12-05,8.212,832,2.4385
107,16672,Woman in the Dunes,1964-02-15,8.209,509,3.8399
108,265177,Mommy,2014-09-19,8.208,2838,4.5359
109,37257,Witness for the Prosecution,1957-12-17,8.206,1661,5.8324
110,1124,The Prestige,2006-10-19,8.206,17453,13.8759
111,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,8.203,935,6.8573
112,694,The Shining,1980-05-23,8.205,18808,15.6653
113,11,Star Wars,1977-05-25,8.202,22179,22.7123
114,618344,Justice League Dark: Apokolips War,2020-05-05,8.201,1561,6.0549
115,568332,Taylor Swift: Reputation Stadium Tour,2018-12-31,8.201,427,3.7135
116,315162,Puss in Boots: The Last Wish,2022-12-07,8.201,8744,18.4173
117,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,8.199,4453,11.4682
118,11324,Shutter Island,2010-02-14,8.198,25683,17.883
119,354912,Coco,2017-10-27,8.197,20842,19.3597
120,50014,The Help,2011-08-09,8.197,8956,11.044
121,441130,Wolfwalkers,2020-10-26,8.193,1361,7.2
122,313106,Doctor Who: The Day of the Doctor,2013-11-23,8.19,769,2.5228
123,68718,Django Unchained,2012-12-25,8.19,27866,14.9313
124,1160164,TAYLOR SWIFT | THE ERAS TOUR,2023-10-13,8.189,514,4.4319
125,324786,Hacksaw Ridge,2016-10-07,8.189,14747,18.8975
126,290098,The Handmaiden,2016-06-01,8.188,4264,17.2441
127,284,The Apartment,1960-06-21,8.186,2617,6.4172
128,620683,My Mom Is a Character 3,2019-12-26,8.2,493,1.1708
129,185,A Clockwork Orange,1971-10-28,8.179,13748,11.7059
130,77,Memento,2000-10-11,8.177,16111,13.8358
131,537061,Steven Universe: The Movie,2019-10-07,8.173,848,3.0194
132,26451,Investigation of a Citizen Above Suspicion,1970-10-16,8.172,862,2.2635
133,5156,Bicycle Thieves,1948-07-21,8.17,2640,3.4554
134,522924,The Art of Racing in the Rain,2019-08-08,8.169,1661,5.4959
135,629,The Usual Suspects,1995-07-19,8.17,11318,13.0937
136,348,Alien,1979-05-25,8.169,16231,27.791
137,18148,Tokyo Story,1953-11-03,8.165,1208,4.6956
138,1422,The Departed,2006-10-04,8.16,16075,13.0672
139,489,Good Will Hunting,1997-12-05,8.16,13724,12.9414
140,476292,Maquia: When the Promised Flower Blooms,2018-02-24,8.158,697,5.2152
141,490,The Seventh Seal,1957-02-16,8.156,3318,4.8082
142,111,Scarface,1983-12-09,8.155,12910,19.1231
143,361743,Top Gun: Maverick,2022-05-21,8.152,10781,29.3317
144,37165,The Truman Show,1998-06-04,8.152,20056,17.7093
145,20941,Innocent Voices,2005-01-28,8.151,515,2.563
146,399106,Piper,2016-06-16,8.149,1727,2.3859
147,81481,Silenced,2011-09-22,8.147,761,5.3422
148,3780,Red Beard,1965-03-04,8.1,405,4.0986
149,851644,20th Century Girl,2022-10-06,8.145,802,10.8603
150,426,Vertigo,1958-05-09,8.145,6288,7.6265
151,280,Terminator 2: Judgment Day,1991-07-03,8.144,14152,17.0188
152,289,Casablanca,1943-01-15,8.1,6001,8.7318
153,517814,Capernaum,2018-09-20,8.139,1955,4.4434
154,10098,The Kid,1921-01-21,8.139,2353,5.3772
155,9702,Bound by Honor,1993-02-05,8.137,1506,8.1093
156,872,Singin' in the Rain,1952-04-10,8.135,3471,6.941
157,797,Persona,1966-10-18,8.133,2389,3.9146
158,592350,My Hero Academia: Heroes Rising,2019-12-20,8.131,1264,5.3738
159,666,Central Station,1998-04-03,8.133,1042,3.1546
160,693134,Dune: Part Two,2024-02-27,8.128,7802,22.4008
161,103,Taxi Driver,1976-02-09,8.127,13344,14.8551
162,606856,Togo,2019-12-20,8.127,2236,6.1977
163,475557,Joker,2019-10-01,8.126,27563,18.3836
164,575813,Better Days,2019-10-25,8.122,548,4.6317
165,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,8.122,6116,6.6021
166,980477,Ne Zha 2,2025-01-29,8.121,651,26.3259
167,1103621,How to Make Millions Before Grandma Dies,2024-04-04,8.12,386,5.7049
168,458220,Palmer,2021-01-28,8.12,1886,7.4626
169,600,Full Metal Jacket,1987-06-26,8.119,11366,10.3735
170,500,Reservoir Dogs,1992-09-02,8.115,15357,13.4377
171,810693,Jujutsu Kaisen 0,2021-12-24,8.111,1705,14.0731
172,20914,My Friends,1975-10-24,8.1,744,2.1989
173,10681,WALL·E,2008-06-22,8.11,20132,20.1092
174,406997,Wonder,2017-11-13,8.107,8222,8.3027
175,38288,"“The Shorts” by Aldo, Giovanni and Giacomo",1996-03-29,8.107,360,0.8239
176,812225,Black Clover: Sword of the Wizard King,2023-06-16,8.105,367,7.8526
177,422,8½,1963-02-14,8.102,2512,5.3096
178,146233,Prisoners,2013-09-19,8.103,12944,13.187
179,46738,Incendies,2010-09-17,8.1,3234,7.569
180,103663,The Hunt,2012-10-25,8.1,4709,5.8449
181,600354,The Father,2020-12-23,8.095,3597,6.4014
182,149871,The Tale of The Princess Kaguya,2013-11-23,8.096,1965,5.382
183,655,"Paris, Texas",1984-07-16,8.1,2191,7.3215
184,531428,Portrait of a Lady on Fire,2019-09-06,8.095,2900,7.9913
185,100,"Lock, Stock and Two Smoking Barrels",1998-08-28,8.095,7147,3.8092
